City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Namtsy,RU,62.7161,129.6658,50.52,62,100,8.28,overcast clouds
115,Yar-Sale,RU,66.8333,70.8333,52.03,48,72,10.27,broken clouds
116,Shumskiy,RU,54.8318,99.1328,46.58,67,79,4.38,broken clouds
117,Phalodi,IN,27.1333,72.3667,79.43,78,0,21.7,clear sky
118,Darhan,MN,49.4867,105.9228,54.05,33,100,11.65,overcast clouds
119,Mount Gambier,AU,-37.8333,140.7667,50.67,86,90,7.85,overcast clouds
120,Merzifon,TR,40.8733,35.4631,45.86,93,0,2.3,clear sky
121,Ekangala,ZA,-25.6962,28.7492,54.3,82,0,3.36,clear sky
122,Pachino,IT,36.7186,15.0907,66.18,87,1,6.38,clear sky
123,Faanui,PF,-16.4833,-151.75,80.89,62,2,15.77,clear sky
124,Isangel,VU,-19.55,169.2667,79.59,77,100,11.03,overcast clouds
125,Henties Bay,NA,-22.116,14.2845,54.99,92,39,4.9,scattered clouds
126,Epe,NG,6.5841,3.9834,76.26,90,99,4.12,overcast clouds
127,Hovd,MN,48.0056,91.6419,59.58,59,60,5.79,broken clouds
128,Lorengau,PG,-2.0226,147.2712,83.61,59,100,4.23,overcast clouds
129,Vaini,TO,-21.2,-175.2,82.56,78,75,10.36,broken clouds
130,Avera,US,33.194,-82.5271,80.11,55,47,6.24,scattered clouds
131,Cabras,IT,39.93,8.5314,69.87,74,43,4.0,scattered clouds
132,Antalaha,MG,-14.9003,50.2788,68.77,88,25,6.22,scattered clouds
133,Talnakh,RU,69.4865,88.3972,37.24,98,100,2.53,overcast clouds
134,Tessalit,ML,20.1986,1.0114,93.13,12,85,5.48,overcast clouds
135,Longyearbyen,SJ,78.2186,15.6401,44.44,76,0,3.44,clear sky
136,Kargasok,RU,59.0556,80.8572,55.69,61,98,9.93,overcast clouds
137,Itaituba,BR,-4.2761,-55.9836,79.11,75,100,2.35,overcast clouds
138,Flin Flon,CA,54.7682,-101.865,58.84,44,20,6.91,few clouds
139,Mahon,ES,39.8885,4.2658,72.16,53,0,14.97,clear sky
140,Meppel,NL,52.6958,6.1944,54.95,76,25,1.99,scattered clouds
141,High Level,CA,58.5169,-117.136,69.91,28,75,6.91,broken clouds
142,Saint-Pierre,RE,-21.3393,55.4781,71.91,88,100,12.66,overcast clouds
143,Chino Valley,US,34.7575,-112.4538,91.74,9,42,8.01,scattered clouds
144,East London,ZA,-33.0153,27.9116,59.95,80,3,6.35,clear sky
145,Lhokseumawe,ID,5.1801,97.1507,74.97,65,61,4.54,broken clouds
146,Chuy,UY,-33.6971,-53.4616,56.28,89,100,7.4,overcast clouds
147,Tuatapere,NZ,-46.1333,167.6833,53.49,77,99,5.17,overcast clouds
148,Lata,PT,40.1629,-8.3327,67.08,41,67,4.63,broken clouds
149,Sao Filipe,CV,14.8961,-24.4956,72.48,83,17,4.45,few clouds
150,Lahij,YE,13.1667,44.5833,81.86,44,38,3.29,scattered clouds
151,Alice Springs,AU,-23.7,133.8833,62.15,48,91,8.05,overcast clouds
152,Praia Da Vitoria,PT,38.7333,-27.0667,65.75,94,75,15.35,broken clouds
153,Lazaro Cardenas,MX,17.9583,-102.2,83.07,73,43,9.82,scattered clouds
154,Bull Savanna,JM,17.8868,-77.5902,76.93,76,56,9.75,broken clouds
155,Ancud,CL,-41.8697,-73.8203,41.74,82,42,4.92,scattered clouds
156,Patitirion,GR,39.15,23.8667,71.38,86,82,3.96,broken clouds
157,Severo-Kurilsk,RU,50.6789,156.125,44.85,86,98,2.66,overcast clouds
158,Madingou,CG,-4.1536,13.55,71.06,93,60,2.26,broken clouds
159,Nicoya,CR,10.1483,-85.452,78.84,85,85,2.1,overcast clouds
160,Cumbitara,CO,1.6517,-77.5823,70.92,97,90,2.24,light rain
161,Villa Carlos Paz,AR,-31.4241,-64.4978,52.83,48,30,3.0,scattered clouds
162,Coquimbo,CL,-29.9533,-71.3436,55.13,94,75,9.22,broken clouds
163,Progreso,MX,21.2833,-89.6667,87.12,79,100,14.85,overcast clouds
164,Cabedelo,BR,-6.9811,-34.8339,75.87,89,87,12.82,moderate rain
165,Namibe,AO,-15.1961,12.1522,64.76,85,10,6.06,clear sky
166,Mbandaka,CD,0.0487,18.2603,69.3,97,73,3.27,light rain
167,Hilo,US,19.7297,-155.09,86.29,93,96,10.33,overcast clouds
168,Te Anau,NZ,-45.4167,167.7167,52.75,73,100,6.35,overcast clouds
169,Norman Wells,CA,65.282,-126.8329,48.24,61,75,20.71,broken clouds
170,Pandan,PH,14.0453,124.1694,82.96,79,76,5.59,broken clouds
171,Shagamu,NG,6.8432,3.6478,78.58,92,94,3.02,overcast clouds
172,Yaguachi,EC,-2.1167,-79.6833,80.58,75,95,4.74,overcast clouds
173,Port-Cartier,CA,50.0334,-66.8654,43.02,97,100,20.89,overcast clouds
174,Erenhot,CN,43.6475,111.9767,64.67,42,46,13.76,scattered clouds
175,Fairbanks,US,64.8378,-147.7164,70.61,26,0,8.05,clear sky
176,Nanakuli,US,21.3906,-158.1547,81.77,50,75,10.36,broken clouds
177,Jega,NG,12.2175,4.3792,88.27,43,46,15.79,scattered clouds
178,Bendigo,AU,-36.7667,144.2833,50.65,87,8,4.0,clear sky
179,Bluff,NZ,-46.6,168.3333,52.81,77,94,10.69,overcast clouds
180,Lavrentiya,RU,65.5833,-171.0,39.63,84,91,6.87,overcast clouds
181,Rijssen,NL,52.308,6.5211,53.83,83,11,3.0,few clouds
182,Lozuvatka,UA,48.0571,33.2858,58.73,82,10,13.42,clear sky
183,Karatau,KZ,43.1667,70.4667,59.29,87,89,6.55,overcast clouds
184,Alofi,NU,-19.0595,-169.9187,80.49,83,66,9.22,broken clouds
185,Rizhao,CN,35.4275,119.4553,74.95,38,100,10.42,overcast clouds
186,Klaksvik,FO,62.2266,-6.589,43.72,90,100,24.16,light rain
187,Uyuni,BO,-20.4597,-66.825,40.91,20,2,11.7,clear sky
188,Anadyr,RU,64.75,177.4833,52.3,58,0,4.47,clear sky
189,Yellowknife,CA,62.456,-114.3525,61.32,41,40,10.36,scattered clouds
190,Davenport,US,41.5236,-90.5776,70.61,64,39,1.99,scattered clouds
191,Kasongo-Lunda,CD,-6.4667,16.8167,70.11,83,6,2.37,clear sky
192,Rawson,AR,-43.3002,-65.1023,42.78,59,6,9.91,clear sky
193,Krasnoselkup,RU,65.7,82.4667,55.81,39,100,5.35,overcast clouds
194,Semporna,MY,4.4818,118.6112,79.97,83,100,7.02,overcast clouds
195,Dikson,RU,73.5069,80.5464,22.53,90,10,2.73,clear sky
196,Altagracia De Orituco,VE,9.8601,-66.3814,73.87,69,100,2.53,overcast clouds
197,Kumla,SE,59.1277,15.1434,48.99,87,20,5.75,light rain
198,Suchindram,IN,8.15,77.4833,77.95,85,32,11.45,scattered clouds
199,Waingapu,ID,-9.6567,120.2641,80.6,78,92,8.19,overcast clouds
200,Benghazi,LY,32.1167,20.0667,81.01,31,0,17.78,clear sky
201,Asfi,MA,32.2994,-9.2372,67.82,74,30,3.38,scattered clouds
202,Codrington,AU,-38.2667,141.9667,51.22,78,92,9.86,overcast clouds
203,Ararat,AM,39.8317,44.7049,64.74,57,1,3.06,clear sky
204,Azare,NG,11.6765,10.1948,84.15,38,40,8.7,scattered clouds
205,Vila Velha,BR,-20.3297,-40.2925,69.75,96,100,3.44,overcast clouds
206,Brookhaven,US,31.5791,-90.4407,77.81,72,0,5.3,clear sky
207,Tadine,NC,-21.55,167.8833,70.36,92,100,9.28,overcast clouds
208,Zhigansk,RU,66.7697,123.3711,37.4,61,35,14.18,scattered clouds
209,Rochester,US,43.1548,-77.6156,70.72,84,100,7.09,overcast clouds
210,Mahebourg,MU,-20.4081,57.7,70.09,88,20,4.61,few clouds
211,Whitley Bay,GB,55.0397,-1.4471,49.48,77,75,10.36,broken clouds
212,Saldanha,ZA,-33.0117,17.9442,48.25,88,1,4.74,clear sky
213,Luderitz,NA,-26.6481,15.1594,55.0,87,1,7.43,clear sky
214,Moroto,UG,2.5345,34.6666,63.37,88,97,1.57,light rain
215,Vardo,NO,70.3705,31.1107,40.98,93,100,21.85,overcast clouds
216,Sarapul,RU,56.4763,53.7978,49.98,95,91,9.15,overcast clouds
217,Carnarvon,AU,-24.8667,113.6333,71.1,68,100,7.96,light rain
218,Dombarovskiy,RU,50.7587,59.5386,52.86,72,28,10.56,scattered clouds
219,Fort Morgan,US,40.2503,-103.8,85.42,22,40,27.63,scattered clouds
220,Kaitangata,NZ,-46.2817,169.8464,51.12,65,84,5.79,broken clouds
221,Grand Gaube,MU,-20.0064,57.6608,70.2,79,0,1.99,clear sky
222,Muros,ES,42.7762,-9.0603,67.15,69,76,8.39,broken clouds
223,Talara,PE,-4.5772,-81.2719,65.55,85,65,15.12,broken clouds
224,Atherton,GB,53.5237,-2.4935,51.69,78,77,1.01,broken clouds
225,Bafra,TR,41.5678,35.9069,58.82,71,0,4.03,clear sky
226,San Patricio,US,28.017,-97.5169,95.72,55,0,14.74,clear sky
227,Katobu,ID,-4.9408,122.5276,78.37,86,82,3.76,light rain
228,Tshane,BW,-24.0196,21.8684,59.85,31,0,9.4,clear sky
229,Dongsheng,CN,39.8161,109.9776,69.31,17,0,13.09,clear sky
230,Jiaozuo,CN,35.2397,113.2331,81.84,28,100,8.84,overcast clouds
231,Saint-Ambroise,CA,48.5501,-71.3324,51.62,93,100,14.97,overcast clouds
232,Komsomolskiy,UZ,40.4272,71.7189,65.12,77,40,4.61,scattered clouds
233,Wanning,CN,18.8003,110.3967,82.85,83,86,7.25,overcast clouds
234,Pont-Saint-Esprit,FR,44.2549,4.6474,69.82,59,1,17.81,clear sky
235,Bethel,US,41.3712,-73.414,69.44,91,100,1.01,overcast clouds
236,Vostok,RU,46.4856,135.8833,51.03,91,100,0.45,overcast clouds
237,Saint George,US,37.1041,-113.5841,95.63,10,54,10.0,broken clouds
238,Broken Hill,AU,-31.95,141.4333,55.42,73,49,10.36,scattered clouds
239,Sopo,CO,4.9075,-73.9384,59.02,91,100,3.67,overcast clouds
240,Ati,TD,13.2154,18.3353,84.78,8,1,9.06,clear sky
241,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,20,4.61,few clouds
242,Luwuk,ID,-0.9516,122.7875,80.82,77,99,1.32,overcast clouds
243,Dothan,US,31.2232,-85.3905,82.44,66,47,6.93,scattered clouds
244,Byron Bay,AU,-28.65,153.6167,68.7,82,22,6.89,few clouds
245,Champerico,GT,14.3,-91.9167,84.74,82,100,7.34,overcast clouds
246,Kuvandyk,RU,51.4781,57.3552,50.77,92,93,7.74,overcast clouds
247,Dovolnoye,RU,54.4958,79.6671,57.78,80,100,5.99,overcast clouds
248,Baculin,PH,7.4525,126.5842,82.2,75,100,1.9,overcast clouds
249,Port-Gentil,GA,-0.7193,8.7815,75.16,88,20,4.61,few clouds
250,Punta Alta,AR,-38.8759,-62.0736,46.15,56,98,0.72,overcast clouds
251,Buala,SB,-8.145,159.5921,80.82,81,95,3.15,overcast clouds
252,La Ronge,CA,55.1001,-105.2842,64.65,39,75,11.5,broken clouds
253,San Cristobal,VE,7.7669,-72.225,75.38,98,100,3.42,overcast clouds
254,Ixtapa,MX,20.7,-105.2,82.22,78,9,5.01,clear sky
255,Talcahuano,CL,-36.7167,-73.1167,46.08,81,0,5.75,clear sky
